player_name,date_of_birth,position,nationality,image_url,age
Senad Lulić,1986-01-18,Midfielder,Bosnia and Herzegovina,https://img.a.transfermarkt.technology/portrait/medium/61449-1455552952.jpg?lm=1,30
Danilo Cataldi,1994-08-06,Midfielder,Italy,https://img.a.transfermarkt.technology/portrait/medium/199733-1661513736.jpg?lm=1,21
Sergej Milinković-Savić,1995-02-27,Midfielder,Serbia,https://img.a.transfermarkt.technology/portrait/medium/266302-1697051652.png?lm=1,21
Felipe Anderson Pereira Gomes,1993-04-15,Attacker,Brazil,https://img.a.transfermarkt.technology/portrait/medium/159372-1692963183.jpg?lm=1,23
Ravel Morrison,1993-02-02,Midfielder,Jamaica,https://img.a.transfermarkt.technology/portrait/medium/128907-1678030794.jpg?lm=1,23
Patricio Gabarrón Gil,1993-04-17,Midfielder,Spain,https://img.a.transfermarkt.technology/portrait/medium/126729-1695026786.jpg?lm=1,23
Maurício dos Santos Nascimento,1988-09-20,Defender,Brazil,https://img.a.transfermarkt.technology/portrait/medium/67864-1413969525.jpg?lm=1,27
Wesley Hoedt,1994-03-06,Defender,Netherlands,https://img.a.transfermarkt.technology/portrait/medium/253765-1660675203.jpg?lm=1,22
Stefano Mauri,1980-01-08,Midfielder,Italy,https://img.a.transfermarkt.technology/portrait/medium/6043-1455552897.jpg?lm=1,36
Federico Marchetti,1983-02-07,Goalkeeper,Italy,https://img.a.transfermarkt.technology/portrait/medium/22318-1688474874.jpg?lm=1,33
Alessandro Matri,1984-08-19,Attacker,Italy,https://img.a.transfermarkt.technology/portrait/medium/40660-1486640070.jpg?lm=1,31
Ogenyi Eddy Onazi,1992-12-25,Midfielder,Nigeria,https://img.a.transfermarkt.technology/portrait/medium/131709-1579134340.png?lm=1,23
Filip Đorđević,1987-09-28,Attacker,Serbia,https://img.a.transfermarkt.technology/portrait/medium/47065-1608096642.png?lm=1,28
Abdoulay Konko,1984-03-09,Defender,France,https://img.a.transfermarkt.technology/portrait/medium/22139-1448467368.jpg?lm=1,32
Miroslav Klose,1978-06-09,Attacker,Germany,https://img.a.transfermarkt.technology/portrait/medium/10-1448468291.jpg?lm=1,38
Edson Braafheid,1983-04-08,Defender,Netherlands,https://img.a.transfermarkt.technology/portrait/medium/16731-1561124429.jpg?lm=1,33
Milan Biševac,1983-08-31,Defender,Serbia,https://img.a.transfermarkt.technology/portrait/medium/24661-1448018509.jpg?lm=1,32
Nikola Kalinić,1988-01-05,Attacker,Croatia,https://img.a.transfermarkt.technology/portrait/medium/36371-1662878081.jpg?lm=1,28
Federico Bernardeschi,1994-02-16,Attacker,Italy,https://img.a.transfermarkt.technology/portrait/medium/197300-1740819052.jpg?lm=1,22
Gilberto Moraes Junior,1993-03-07,Defender,Brazil,https://img.a.transfermarkt.technology/portrait/medium/231614-1603795306.jpg?lm=1,23
Gonzalo Javier Rodríguez,1984-04-10,Defender,Argentina,https://img.a.transfermarkt.technology/portrait/medium/19998-1455552310.jpg?lm=1,32
Marcos Alonso Mendoza,1990-12-28,Defender,Spain,https://img.a.transfermarkt.technology/portrait/medium/112515-1694505734.jpg?lm=1,25
Milan Badelj,1989-02-25,Midfielder,Croatia,https://img.a.transfermarkt.technology/portrait/medium/40633-1692277462.jpg?lm=1,27
Nenad Tomović,1987-08-30,Defender,Serbia,https://img.a.transfermarkt.technology/portrait/medium/47085-1448526876.jpg?lm=1,28
Josip Iličić,1988-01-29,Attacker,Slovenia,https://img.a.transfermarkt.technology/portrait/medium/80351-1661981551.jpg?lm=1,28
Borja Valero Iglesias,1985-01-12,Midfielder,Spain,https://img.a.transfermarkt.technology/portrait/medium/40372-1448527157.jpg?lm=1,31
Anton Ciprian Tătărușanu,1986-02-09,Goalkeeper,Romania,https://img.a.transfermarkt.technology/portrait/medium/55282-1663574299.jpg?lm=1,30
Facundo Sebastián Roncaglia,1987-02-10,Defender,Argentina,https://img.a.transfermarkt.technology/portrait/medium/61546-1742328609.jpg?lm=1,29
Davide Astori,1987-01-07,Defender,Italy,https://img.a.transfermarkt.technology/portrait/medium/87210-1520162249.jpg?lm=1,29
Mario Suárez Mata,1987-02-24,Midfielder,Spain,https://img.a.transfermarkt.technology/portrait/medium/37337-1448527270.jpg?lm=1,29
Matías Ariel Fernández Fernández,1986-05-15,Midfielder,Chile,https://img.a.transfermarkt.technology/portrait/medium/37918-1448527391.jpg?lm=1,30
Giuseppe Rossi,1987-02-01,Attacker,Italy,https://img.a.transfermarkt.technology/portrait/medium/19104-1584043594.jpg?lm=1,29
Ante Rebić,1993-09-21,Attacker,Croatia,https://img.a.transfermarkt.technology/portrait/medium/187587-1596115623.jpg?lm=1,22
Khouma El Hadji Babacar,1993-03-17,Attacker,Senegal,https://img.a.transfermarkt.technology/portrait/medium/124902-1724326318.png?lm=1,23
Matías Vecino Falero,1991-08-24,Midfielder,Uruguay,https://img.a.transfermarkt.technology/portrait/medium/143812-1695026891.jpg?lm=1,24
Manuel Pasqual,1982-03-13,Defender,Italy,https://img.a.transfermarkt.technology/portrait/medium/23284-1448527099.jpg?lm=1,34
Jakub Błaszczykowski,1985-12-14,Attacker,Poland,https://img.a.transfermarkt.technology/portrait/medium/29835-1670965927.png?lm=1,30
Joan Verdú Fernández,1983-05-05,Midfielder,Spain,https://img.a.transfermarkt.technology/portrait/medium/28005-1448527777.jpg?lm=1,33
Luca Lezzerini,1995-03-24,Goalkeeper,Italy,https://img.a.transfermarkt.technology/portrait/medium/135747-1630656710.jpg?lm=1,21
Alberto Facundo Costa,1985-01-09,Defender,Argentina,https://img.a.transfermarkt.technology/portrait/medium/77003-1448531413.jpg?lm=1,31
Mauro Matías Zárate,1987-03-18,Attacker,Argentina,https://img.a.transfermarkt.technology/portrait/medium/26456-1676018324.jpg?lm=1,29
Cristian Tello Herrera,1991-08-11,Attacker,Spain,https://img.a.transfermarkt.technology/portrait/medium/141834-1716742330.png?lm=1,24
Panagiotis Giorgios Kone,1987-07-26,Midfielder,Greece,https://img.a.transfermarkt.technology/portrait/medium/19636-1418723053.jpg?lm=1,28
Luca Antonelli,1987-02-11,Defender,Italy,https://img.a.transfermarkt.technology/portrait/medium/45565-1649702627.jpg?lm=1,29
Andrea Bertolacci,1991-01-11,Midfielder,Italy,https://img.a.transfermarkt.technology/portrait/medium/99227-1682001458.png?lm=1,25
